Establishment year,District,State/UT,Latitude,Longitude,Pincode,Post office name
20090330,Sikar,Rajasthan,27.65699959,75.58439636,332706,Guhala
20020530,Sikar,Rajasthan,27.66399956,75.58899689,332706,Guhala
20060322,Sikar,Rajasthan,27.65519905,75.5891037,332706,Guhala
0,Sikar,Rajasthan,27.66279984,75.59149933,332706,Guhala
20020327,Sikar,Rajasthan,27.65950012,75.59290314,332706,Guhala
20060407,Sikar,Rajasthan,27.66889954,75.60089874,332706,Guhala
20070410,Sikar,Rajasthan,27.66679955,75.60179901,332706,Guhala
20060306,Sikar,Rajasthan,27.66970062,75.60230255,332706,Guhala
20060322,Sikar,Rajasthan,27.66900063,75.60379791,332706,Guhala
20060306,Sikar,Rajasthan,27.67090034,75.60919952,332706,Guhala
20000414,Sikar,Rajasthan,27.67510033,75.61229706,332706,Guhala
20021005,Sikar,Rajasthan,27.66500092,75.64199829,332706,Guhala
0,Sikar,Rajasthan,27.65110016,75.64730072,332706,Guhala
20060322,Sikar,Rajasthan,27.6704998,75.67579651,332706,Guhala
20130127,Churu,Rajasthan,28.13430023,74.61360168,331022,Ratangarh
20101002,Churu,Rajasthan,28.74340057,75.23000336,331023,Sadulpur
20060124,Churu,Rajasthan,28.80579948,75.3227005,331023,Sadulpur
20100715,Churu,Rajasthan,28.74329948,75.34559631,331023,Sadulpur
0,Churu,Rajasthan,28.58530045,75.37640381,331023,Sadulpur
20121108,Churu,Rajasthan,28.67589951,75.4375,331023,Sadulpur
20100715,Churu,Rajasthan,28.6779995,75.44360352,331023,Sadulpur
20120423,Churu,Rajasthan,28.46610069,75.47149658,331305,Hamirwas
20130309,Churu,Rajasthan,28.46039963,75.4878006,331305,Hamirwas
20120313,Churu,Rajasthan,28.42140007,75.56900024,331305,Hamirwas
20050326,Churu,Rajasthan,28.82760048,74.99240112,331304,Taranagar Bazar
20130316,Churu,Rajasthan,28.6583004,75.09140015,331304,Taranagar Bazar
0,Churu,Rajasthan,28.04560089,74.49079895,331802,Rajaldesar
0,Jhunjhunun,Rajasthan,27.83740044,75.77770233,332711,Maonda RS
-1,Bikaner,Rajasthan,27.81089973,74.06109619,331803,Kalubas
20111106,Sikar,Rajasthan,27.5468998,74.92140198,332028,Sihot Badi
0,Bikaner,Rajasthan,28.11949921,72.46849823,334305,Bajju
20060423,Jhunjhunun,Rajasthan,28.23920059,75.61789703,333026,Chirawa
20040722,Jhunjhunun,Rajasthan,28.23760033,75.61840057,333026,Chirawa
20060322,Jhunjhunun,Rajasthan,28.25029945,75.61869812,333026,Chirawa
20051013,Jhunjhunun,Rajasthan,28.25209999,75.61940002,333026,Chirawa
20051013,Jhunjhunun,Rajasthan,28.21579933,75.65740204,333026,Chirawa
20051029,Jhunjhunun,Rajasthan,28.21310043,75.65910339,333026,Chirawa
0,Sikar,Rajasthan,27.59589958,75.57430267,332708,Kanwat Town
20011103,Sikar,Rajasthan,27.59970093,75.57479858,332708,Kanwat Town
20020530,Sikar,Rajasthan,27.59959984,75.5759964,332708,Kanwat Town
20011103,Sikar,Rajasthan,27.58449936,75.58360291,332708,Kanwat Town
20100112,Sikar,Rajasthan,27.58119965,75.6269989,332708,Kanwat Town
20060525,Jhunjhunun,Rajasthan,28.21069908,75.65380096,333027,Ardawata
20090306,Sikar,Rajasthan,27.51589966,75.4240036,332709,N.P.Khandela
20111217,Sikar,Rajasthan,27.53350067,75.43509674,332709,N.P.Khandela
19990122,Sikar,Rajasthan,27.54319954,75.44450378,332709,N.P.Khandela
20140919,Sikar,Rajasthan,27.57430077,75.44930267,332709,N.P.Khandela
20000305,Sikar,Rajasthan,27.55629921,75.45580292,332709,N.P.Khandela
0,Sikar,Rajasthan,27.55990028,75.46420288,332709,N.P.Khandela
0,Sikar,Rajasthan,27.55920029,75.46430206,332709,N.P.Khandela
20040908,Sikar,Rajasthan,27.57929993,75.4673996,332709,N.P.Khandela
20051114,Sikar,Rajasthan,27.56550026,75.46849823,332709,N.P.Khandela
20081012,Sikar,Rajasthan,27.55800056,75.4701004,332709,N.P.Khandela
19981205,Sikar,Rajasthan,27.57229996,75.47250366,332709,N.P.Khandela
20090407,Sikar,Rajasthan,27.55750084,75.47429657,332709,N.P.Khandela
20060407,Sikar,Rajasthan,27.57710075,75.47440338,332709,N.P.Khandela
19980315,Sikar,Rajasthan,27.57250023,75.47579956,332709,N.P.Khandela
20011103,Sikar,Rajasthan,27.57710075,75.48239899,332709,N.P.Khandela
20010308,Sikar,Rajasthan,27.57430077,75.48680115,332709,N.P.Khandela
19980220,Sikar,Rajasthan,27.58160019,75.50340271,332709,N.P.Khandela
20100715,Sikar,Rajasthan,27.58639908,75.53980255,332709,N.P.Khandela
19990311,Sikar,Rajasthan,27.56979942,75.55680084,332709,N.P.Khandela
20060322,Sikar,Rajasthan,27.58749962,75.55989838,332709,N.P.Khandela
0,Sikar,Rajasthan,27.58810043,75.56259918,332709,N.P.Khandela
0,Sikar,Rajasthan,27.58769989,75.56590271,332709,N.P.Khandela
19990412,Sikar,Rajasthan,27.58609962,75.56639862,332709,N.P.Khandela
20071019,Sikar,Rajasthan,27.58099937,75.56690216,332709,N.P.Khandela
20060306,Sikar,Rajasthan,27.58690071,75.57150269,332709,N.P.Khandela
19990122,Sikar,Rajasthan,27.58410072,75.57260132,332709,N.P.Khandela
20000125,Sikar,Rajasthan,27.5802002,75.57319641,332709,N.P.Khandela
19991029,Sikar,Rajasthan,27.58449936,75.57830048,332709,N.P.Khandela
0,Jhunjhunun,Rajasthan,28.33040047,75.67449951,333030,Kajara
20140405,Jhunjhunun,Rajasthan,28.33200073,75.67960358,333030,Kajara
20051130,Jhunjhunun,Rajasthan,28.33699989,75.6867981,333030,Kajara
20161104,Jhunjhunun,Rajasthan,28.34280014,75.69339752,333030,Kajara
20090423,Jhunjhunun,Rajasthan,28.29710007,75.70230103,333030,Kajara
0,Jhunjhunun,Rajasthan,28.34300041,75.70439911,333030,Kajara
-1,Jhunjhunun,Rajasthan,28.34620094,75.71420288,333030,Kajara
20090322,Jhunjhunun,Rajasthan,28.1692009,75.2888031,333001,Jhunjhunu
20090407,Jhunjhunun,Rajasthan,28.06719971,75.4190979,333001,Jhunjhunu
20020311,Jhunjhunun,Rajasthan,28.21229935,75.37249756,333023,Bagar
20050114,Jhunjhunun,Rajasthan,28.21279907,75.37460327,333023,Bagar
0,Jhunjhunun,Rajasthan,28.21680069,75.37930298,333023,Bagar
20090306,Jhunjhunun,Rajasthan,28.21820068,75.39659882,333023,Bagar
20100823,Jhunjhunun,Rajasthan,28.22249985,75.40280151,333023,Bagar
19990327,Jhunjhunun,Rajasthan,28.2133007,75.40830231,333023,Bagar
20030501,Jhunjhunun,Rajasthan,28.21820068,75.40879822,333023,Bagar
20090202,Jhunjhunun,Rajasthan,28.22340012,75.4095993,333023,Bagar
20100715,Jhunjhunun,Rajasthan,28.2159996,75.4095993,333023,Bagar
20120423,Jhunjhunun,Rajasthan,28.24440002,75.41570282,333023,Bagar
20090306,Jhunjhunun,Rajasthan,28.21380043,75.41609955,333023,Bagar
20100212,Jhunjhunun,Rajasthan,28.32130051,75.42389679,333025,Mandrella
20051004,Jhunjhunun,Rajasthan,28.35470009,75.42579651,333025,Mandrella
20100816,Jhunjhunun,Rajasthan,28.34799957,75.4285965,333025,Mandrella
20060814,Jhunjhunun,Rajasthan,28.3185997,75.45079803,333025,Mandrella
20100715,Jhunjhunun,Rajasthan,28.3253994,75.47920227,333025,Mandrella
20140224,Jhunjhunun,Rajasthan,28.32530022,75.48079681,333025,Mandrella
20111022,Jhunjhunun,Rajasthan,28.24489975,75.82620239,333033,Jakhod
20090704,Jhunjhunun,Rajasthan,28.2548008,75.83550262,333033,Jakhod
20120322,Jhunjhunun,Rajasthan,28.25449944,75.83630371,333033,Jakhod
20170920,Jhunjhunun,Rajasthan,28.42720032,75.69419861,333031,V.V. Pilani
20110928,Jhunjhunun,Rajasthan,28.01199913,75.60440063,333514,Jasrapur
0,Bikaner,Rajasthan,28.76429939,72.81800079,334021,Chhatararh
20130102,Bikaner,Rajasthan,28.07530022,73.42150116,334022,Udasar
-1,Bikaner,Rajasthan,28.0529995,73.62400055,334022,Udasar
0,Bikaner,Rajasthan,27.67210007,73.3946991,334801,Deshnoke
20080901,Bikaner,Rajasthan,27.75970078,73.52420044,334801,Deshnoke
0,Bikaner,Rajasthan,28.44799995,72.29640198,334023,Khajuwala
0,Bikaner,Rajasthan,28.70999908,72.62319946,334023,Khajuwala
