x,y,cell,kiln_count
77.75,35.25,NA,0
74.25,34.75,NA,0
76.75,34.75,NA,0
77.25,34.75,NA,0
77.75,34.75,NA,0
74.25,34.25,NA,0
74.75,34.25,NA,0
75.25,34.25,NA,0
75.75,34.25,NA,0
76.25,34.25,NA,0
76.75,34.25,NA,0
77.25,34.25,NA,0
77.75,34.25,NA,0
78.25,34.25,NA,0
78.75,34.25,NA,0
74.25,33.75,NA,0
74.75,33.75,NA,0
75.25,33.75,NA,0
75.75,33.75,NA,0
76.25,33.75,NA,0
76.75,33.75,NA,0
77.25,33.75,NA,0
77.75,33.75,NA,0
78.25,33.75,NA,0
78.75,33.75,NA,0
74.25,33.25,313,7
74.75,33.25,NA,0
75.25,33.25,NA,0
75.75,33.25,NA,0
76.25,33.25,NA,0
76.75,33.25,NA,0
77.25,33.25,NA,0
77.75,33.25,NA,0
78.25,33.25,NA,0
78.75,33.25,NA,0
74.75,32.75,374,27
75.25,32.75,375,1
75.75,32.75,NA,0
76.25,32.75,NA,0
76.75,32.75,NA,0
77.25,32.75,NA,0
77.75,32.75,NA,0
78.25,32.75,NA,0
78.75,32.75,NA,0
79.25,32.75,NA,0
75.75,32.25,436,85
76.25,32.25,437,1
76.75,32.25,NA,0
77.25,32.25,NA,0
77.75,32.25,NA,0
78.25,32.25,NA,0
74.75,31.75,494,147
75.25,31.75,495,206
75.75,31.75,496,80
76.25,31.75,497,36
76.75,31.75,498,2
77.25,31.75,NA,0
77.75,31.75,NA,0
78.25,31.75,NA,0
74.75,31.25,554,123
75.25,31.25,555,101
75.75,31.25,556,203
76.25,31.25,557,150
76.75,31.25,558,33
77.25,31.25,559,1
77.75,31.25,NA,0
78.25,31.25,561,1
78.75,31.25,NA,0
74.75,30.75,614,126
75.25,30.75,615,199
75.75,30.75,616,209
76.25,30.75,617,177
76.75,30.75,618,163
77.25,30.75,619,13
77.75,30.75,NA,0
78.25,30.75,NA,0
78.75,30.75,NA,0
79.25,30.75,NA,0
79.75,30.75,624,1
74.25,30.25,673,165
74.75,30.25,674,164
75.25,30.25,675,143
75.75,30.25,676,156
76.25,30.25,677,144
76.75,30.25,678,116
77.25,30.25,679,168
77.75,30.25,680,61
78.25,30.25,681,2
78.75,30.25,682,2
79.25,30.25,NA,0
79.75,30.25,NA,0
80.25,30.25,NA,0
80.75,30.25,NA,0
81.75,30.25,NA,0
73.75,29.75,732,147
74.25,29.75,733,200
74.75,29.75,734,116
75.25,29.75,735,144
75.75,29.75,736,153
76.25,29.75,737,136
76.75,29.75,738,141
77.25,29.75,739,187
77.75,29.75,740,349
78.25,29.75,741,92
78.75,29.75,742,6
79.25,29.75,743,1
79.75,29.75,NA,0
80.25,29.75,NA,0
80.75,29.75,NA,0
81.25,29.75,NA,0
81.75,29.75,NA,0
82.25,29.75,NA,0
82.75,29.75,NA,0
73.25,29.25,791,164
73.75,29.25,792,127
74.25,29.25,793,75
74.75,29.25,794,119
75.25,29.25,795,114
75.75,29.25,796,218
